id,createdAt,updatedAt,handle,name,slug,city,abbreviation,logo,logoSlug,wins,losses,winPercentage,conference,division,established,primaryColor,secondaryColor
1610612755,2021-03-26 04:08:51.234,2021-03-26 04:09:50.931,1610612755,76ers,sixers,Philadelphia,PHI,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526603/nba-logos/philadelphia-76ers-logo.png,"philadelphia-76ers-logo
",31,13,0.705,East,Atlantic,1949,#006BB6,#D50032
1610612756,2021-03-26 04:08:51.155,2021-03-26 04:09:52.718,1610612756,Suns,suns,Phoenix,PHX,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526603/nba-logos/phoenix-suns-logo.png,phoenix-suns-logo,29,14,0.6739999999999999,West,Pacific,1968,#1D1160,#E56020
1610612757,2021-03-26 04:08:51.215,2021-03-26 04:09:54.289,1610612757,Trail Blazers,blazers,Portland,POR,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526604/nba-logos/portland-trail-blazers-logo.png,portland-trail-blazers-logo,26,18,0.591,West,Northwest,1970,#E03A3E,#000000
1610612758,2021-03-26 04:08:51.162,2021-03-26 04:09:55.966,1610612758,Kings,kings,Sacramento,SAC,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526603/nba-logos/sacramento-kings-logo.png,sacramento-kings-logo,19,25,0.432,West,Pacific,1948,#5A2D81,#63727A
1610612759,2021-03-26 04:08:51.157,2021-03-26 04:09:57.845,1610612759,Spurs,spurs,San Antonio,SAS,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526604/nba-logos/san-antonio-spurs-logo.png,san-antonio-spurs-logo,22,20,0.524,West,Southwest,1976,#C4CED4,#000000
1610612761,2021-03-26 04:08:51.231,2021-03-26 04:09:59.477,1610612761,Raptors,raptors,Toronto,TOR,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526604/nba-logos/toronto-raptors-logo.png,toronto-raptors-logo,18,26,0.409,East,Atlantic,1995,#CE1141,#000000
1610612762,2021-03-26 04:08:51.151,2021-03-26 04:10:01.244,1610612762,Jazz,jazz,Utah,UTA,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526604/nba-logos/utah-jazz-logo.png,utah-jazz-logo,32,11,0.744,West,Northwest,1974,#002B5C,#F9A01B
1610612764,2021-03-26 04:08:51.066,2021-03-26 04:10:03.269,1610612764,Wizards,wizards,Washington,WAS,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526604/nba-logos/washington-wizards-logo.png,washington-wizards-logo,15,28,0.349,East,Southeast,1961,# 002B5C,#E31837
1610612737,2021-03-26 04:08:51.198,2021-03-26 04:09:15.118,1610612737,Hawks,hawks,Atlanta,ATL,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/atlanta-hawks-logo.png,atlanta-hawks-logo,22,22,0.5,East,Southeast,1949,#E03A3E,#C1D32F
1610612766,2021-03-26 04:08:51.186,2021-03-26 04:09:20.347,1610612766,Hornets,hornets,Charlotte,CHA,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/charlotte-hornets-logo.png,charlotte-hornets-logo,22,21,0.512,East,Southeast,1988,#1D1160,#00788C
