id,createdAt,updatedAt,handle,name,slug,teamId,height,weight,number,position
1630170,2021-03-26 04:41:01.719,2021-03-26 04:41:01.719,1630170,Devin Vassell,devin-vassell,1610612759,6-5,200,24,G-F
1630200,2021-03-26 04:41:01.727,2021-03-26 04:41:01.727,1630200,Tre Jones,tre-jones,1610612759,6-1,185,33,G
68,2021-03-26 04:41:01.732,2021-03-26 04:41:01.732,1628424,Kobi Simmons,kobi-simmons,1610612766,6-5,180,23,G
1630223,2021-03-26 04:41:01.74,2021-03-26 04:41:01.74,1630223,Jalen Harris,jalen-harris,1610612761,6-5,195,2,G
69,2021-03-26 04:41:01.747,2021-03-26 04:41:01.747,1629034,Ray Spalding,ray-spalding,1610612766,6-9,225,26,F
1630201,2021-03-26 04:41:01.756,2021-03-26 04:41:01.756,1630201,Malachi Flynn,malachi-flynn,1610612761,6-1,175,8,G
1628970,2021-03-26 04:41:01.766,2021-03-26 04:41:01.766,1628970,Miles Bridges,miles-bridges,1610612766,6-6,225,0,F
1626181,2021-03-26 04:41:01.772,2021-03-26 04:41:01.772,1626181,Norman Powell,norman-powell,1610612761,6-3,215,24,G
1626179,2021-03-26 04:41:01.779,2021-03-26 04:41:01.779,1626179,Terry Rozier,terry-rozier,1610612766,6-1,190,3,G
1630235,2021-03-26 04:41:01.785,2021-03-26 04:41:01.785,1630235,Trent Forrest,trent-forrest,1610612762,6-4,210,3,G
1628984,2021-03-26 04:41:01.791,2021-03-26 04:41:01.791,1628984,Devonte' Graham,devonte-graham,1610612766,6-1,195,4,G
1628962,2021-03-26 04:41:01.798,2021-03-26 04:41:01.798,1628962,Udoka Azubuike,udoka-azubuike,1610612762,6-10,280,20,C-F
1629667,2021-03-26 04:41:01.804,2021-03-26 04:41:01.804,1629667,Jalen McDaniels,jalen-mcdaniels,1610612766,6-9,205,6,F-C
1630190,2021-03-26 04:41:01.811,2021-03-26 04:41:01.811,1630190,Elijah Hughes,elijah-hughes,1610612762,6-5,215,33,G
202687,2021-03-26 04:41:01.818,2021-03-26 04:41:01.818,202687,Bismack Biyombo,bismack-biyombo,1610612766,6-8,255,8,C
507,2021-03-26 04:41:01.823,2021-03-26 04:41:01.823,1627780,Gary Payton II,gary-payton-ii,1610612764,6-3,195,20,G
510,2021-03-26 04:41:01.829,2021-03-26 04:41:01.829,101133,Ian Mahinmi,ian-mahinmi,1610612764,6-11,262,28,C
1628997,2021-03-26 04:41:01.834,2021-03-26 04:41:01.834,1628997,Caleb Martin,caleb-martin,1610612766,6-5,205,10,F
1628998,2021-03-26 04:41:01.84,2021-03-26 04:41:01.84,1628998,Cody Martin,cody-martin,1610612766,6-5,205,11,F
202330,2021-03-26 04:41:01.846,2021-03-26 04:41:01.846,202330,Gordon Hayward,gordon-hayward,1610612766,6-7,225,20,F
35,2021-03-26 04:41:01.852,2021-03-26 04:41:01.852,2037,Jamal Crawford,jamal-crawford,1610612751,6-5,200,1,G
1629023,2021-03-26 04:41:01.859,2021-03-26 04:41:01.859,1629023,P.J. Washington,pj-washington,1610612766,6-7,230,25,F
203469,2021-03-26 04:41:01.865,2021-03-26 04:41:01.865,203469,Cody Zeller,cody-zeller,1610612766,6-11,240,40,F-C
40,2021-03-26 04:41:01.87,2021-03-26 04:41:01.87,1629058,Dzanan Musa,dzanan-musa,1610612751,6-9,217,13,G-F
1629632,2021-03-26 04:41:01.875,2021-03-26 04:41:01.875,1629632,Coby White,coby-white,1610612741,6-5,195,0,G
202954,2021-03-26 04:41:01.881,2021-03-26 04:41:01.881,202954,Brad Wanamaker,brad-wanamaker,1610612744,6-3,210,10,G
1629645,2021-03-26 04:41:01.887,2021-03-26 04:41:01.887,1629645,Kevin Porter Jr.,kevin-porter-jr,1610612745,6-4,203,3,G-F
1628035,2021-03-26 04:41:01.893,2021-03-26 04:41:01.893,1628035,Alfonzo McKinnie,alfonzo-mckinnie,1610612747,6-7,215,28,F
203944,2021-03-26 04:41:01.899,2021-03-26 04:41:01.899,203944,Julius Randle,julius-randle,1610612752,6-8,250,30,F-C
1628983,2021-03-26 04:41:01.904,2021-03-26 04:41:01.904,1628983,Shai Gilgeous-Alexander,shai-gilgeous-alexander,1610612760,6-6,180,2,G-F
204001,2021-03-26 04:41:01.91,2021-03-26 04:41:01.91,204001,Kristaps Porzingis,kristaps-porzingis,1610612742,7-3,240,6,F-C
1629685,2021-03-26 04:41:01.915,2021-03-26 04:41:01.915,1629685,Dylan Windler,dylan-windler,1610612739,6-6,196,9,G-F
201588,2021-03-26 04:41:01.922,2021-03-26 04:41:01.922,201588,George Hill,george-hill,1610612760,6-4,188,3,G
1628422,2021-03-26 04:41:01.927,2021-03-26 04:41:01.927,1628422,Damyean Dotson,damyean-dotson,1610612739,6-5,210,21,G
204038,2021-03-26 04:41:01.933,2021-03-26 04:41:01.933,204038,Langston Galloway,langston-galloway,1610612756,6-1,200,2,G
203496,2021-03-26 04:41:01.937,2021-03-26 04:41:01.937,203496,Robert Covington,robert-covington,1610612757,6-7,209,23,F
203486,2021-03-26 04:41:01.943,2021-03-26 04:41:01.943,203486,Mason Plumlee,mason-plumlee,1610612765,6-11,254,24,F-C
203503,2021-03-26 04:41:01.948,2021-03-26 04:41:01.948,203503,Tony Snell,tony-snell,1610612737,6-6,213,19,G
202324,2021-03-26 04:41:01.961,2021-03-26 04:41:01.961,202324,Derrick Favors,derrick-favors,1610612762,6-9,265,15,F
1629346,2021-03-26 04:41:01.966,2021-03-26 04:41:01.966,1629346,Alen Smailagic,alen-smailagic,1610612744,6-10,215,6,F
1630216,2021-03-26 04:41:01.971,2021-03-26 04:41:01.971,1630216,Cassius Winston,cassius-winston,1610612764,6-1,185,5,G
1628383,2021-03-26 04:41:01.976,2021-03-26 04:41:01.976,1628383,Justin Patton,justin-patton,1610612745,6-11,241,26,C
1630166,2021-03-26 04:41:01.981,2021-03-26 04:41:01.981,1630166,Deni Avdija,deni-avdija,1610612764,6-9,210,9,F
203210,2021-03-26 04:41:01.986,2021-03-26 04:41:01.986,203210,JaMychal Green,jamychal-green,1610612743,6-8,227,0,F-C
201577,2021-03-26 04:41:01.991,2021-03-26 04:41:01.991,201577,Robin Lopez,robin-lopez,1610612764,7-0,281,15,C
203524,2021-03-26 04:41:01.996,2021-03-26 04:41:01.996,203524,Solomon Hill,solomon-hill,1610612737,6-6,226,18,F
1630264,2021-03-26 04:41:02.001,2021-03-26 04:41:02.001,1630264,Anthony Gill,anthony-gill,1610612764,6-7,230,16,F
203482,2021-03-26 04:41:02.005,2021-03-26 04:41:02.005,203482,Kelly Olynyk,kelly-olynyk,1610612748,6-11,240,9,F-C
202340,2021-03-26 04:41:02.01,2021-03-26 04:41:02.01,202340,Avery Bradley,avery-bradley,1610612748,6-3,180,11,G
1629731,2021-03-26 04:41:02.016,2021-03-26 04:41:02.016,1629731,Dean Wade,dean-wade,1610612739,6-9,228,32,F-C
1628420,2021-03-26 04:41:02.02,2021-03-26 04:41:02.02,1628420,Monte Morris,monte-morris,1610612743,6-2,183,11,G
1627739,2021-03-26 04:41:02.026,2021-03-26 04:41:02.026,1627739,Kris Dunn,kris-dunn,1610612737,6-3,205,32,G
1628973,2021-03-26 04:41:02.03,2021-03-26 04:41:02.03,1628973,Jalen Brunson,jalen-brunson,1610612742,6-1,190,13,G
203914,2021-03-26 04:41:02.035,2021-03-26 04:41:02.035,203914,Gary Harris,gary-harris,1610612743,6-4,210,14,G
1629076,2021-03-26 04:41:02.04,2021-03-26 04:41:02.04,1629076,Tyler Cook,tyler-cook,1610612765,6-8,255,25,F
201933,2021-03-26 04:41:02.045,2021-03-26 04:41:02.045,201933,Blake Griffin,blake-griffin,1610612751,6-9,250,2,F
1629672,2021-03-26 04:41:02.05,2021-03-26 04:41:02.05,1629672,Eric Paschall,eric-paschall,1610612744,6-6,255,7,F
