id,createdAt,updatedAt,handle,name,slug,city,abbreviation,logo,logoSlug,wins,losses,winPercentage,conference,division,established
1610612737,2021-03-26 19:04:37.698,2021-03-26 19:05:40.259,1610612737,Hawks,hawks,Atlanta,ATL,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/atlanta-hawks-logo.png,atlanta-hawks-logo,22,22,0.5,East,Southeast,1949
1610612738,2021-03-26 19:04:37.795,2021-03-26 19:05:40.686,1610612738,Celtics,celtics,Boston,BOS,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/boston-celtics-logo.png,boston-celtics-logo,21,23,0.477,East,Atlantic,1946
1610612751,2021-03-26 19:04:37.816,2021-03-26 19:05:40.997,1610612751,Nets,nets,Brooklyn,BKN,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/brooklyn-nets-logo.png,brooklyn-nets-logo,30,15,0.667,East,Atlantic,1976
1610612766,2021-03-26 19:04:37.821,2021-03-26 19:05:41.371,1610612766,Hornets,hornets,Charlotte,CHA,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/charlotte-hornets-logo.png,charlotte-hornets-logo,22,21,0.512,East,Southeast,1988
1610612741,2021-03-26 19:04:37.825,2021-03-26 19:05:41.646,1610612741,Bulls,bulls,Chicago,CHI,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/chicago-bulls-logo.png,chicago-bulls-logo,19,24,0.442,East,Central,1966
1610612739,2021-03-26 19:04:37.828,2021-03-26 19:05:41.938,1610612739,Cavaliers,cavaliers,Cleveland,CLE,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/cleveland-cavaliers-logo.png,cleveland-cavaliers-logo,17,27,0.386,East,Central,1970
1610612742,2021-03-26 19:04:37.831,2021-03-26 19:05:42.241,1610612742,Mavericks,mavericks,Dallas,DAL,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/dallas-mavericks-logo.png,dallas-mavericks-logo,23,19,0.548,West,Southwest,1980
1610612743,2021-03-26 19:04:37.834,2021-03-26 19:05:42.541,1610612743,Nuggets,nuggets,Denver,DEN,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/denver-nuggets-logo.png,denver-nuggets-logo,26,18,0.591,West,Northwest,1976
1610612765,2021-03-26 19:04:37.837,2021-03-26 19:05:42.841,1610612765,Pistons,pistons,Detroit,DET,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/detroit-pistons-logo.png,detroit-pistons-logo,12,31,0.27899999999999997,East,Central,1948
1610612744,2021-03-26 19:04:37.839,2021-03-26 19:05:43.134,1610612744,Warriors,warriors,Golden State,GSW,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/golden-state-warriors-logo.png,golden-state-warriors-logo,22,23,0.489,West,Pacific,1946
